aktip,aktif
aktifitas,aktivitas
apotik,apotek
apotik,apotek
analisa,analisis
azas,asas
azas,asas
atlit,atlet
atlit,atlet
antri,antre 
antri,antre 
atmosfir,atmosfer
atmosfir,atmosfer
erobik,aerobic
erobik,aerobic
ahir,akhir
ahir,akhir
antar-instansi,antarinstansi
antar-instansi,antarinstansi
baud,baut
baud,baut
bis,bus
bis,bus
berfikir,berpikir 
berfikir,berpikir 
cabe,cabai
cabe,cabai
cinderamata,cendera mata
cinderamata,cendera mata
difinisi,definisi
difinisi,definisi
disel,diesel
disel,disel
dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
dipindah,dipindahkan
dipindah,dipindahkan
dollar,dolar
dollar,dolar
daptar,daftar
daptar,daftar
difinisi,definisi
difinisi,definisi
depo,depot
depo,depot
detil,detail
detil,detail
diagnosa,diagnosis
diagnosa,diagnosis 
differensial,diferensial
differensial,diferensial
dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
disyahkan,disahkan
disyahkan,disahkan
eksport,ekspor
eksport,ekspor
ekstrim,ekstrem
ekstrim,ekstrem
ekwivalen,ekuivalen
ekwivalen,ekuivalen
hembus,embus
hembus,embus
esei,esai
pebruari,februari
pebruari,februari
phiologi,fiologi 
phiologi,fiologi 
filem,film
filem,film
phisik,fisik
phisik,fisik
photo,foto
photo,foto
frekwensi,frekuensi
frekwensi,frekuensi
hapal,hafal
hapal,hafal
hakekat,hakikat
hakekat,hakikat
hirarki,hierarki
hipotesa,hipotesis
ijasah,ijazah
ihlas,ikhlas
himbau,imbau
ilmiawan,ilmuwan
import,impor
insyaf,insaf
hisap,isap
isteri,istri
ijin,izin
jadual,jadwal
jenasah,jenazah
jendral,jenderal
kaedah,kaidah
karir,karier
khutbah,khotbah
komplek,kompleks
kondite,konduite
konperensi,konferesi
konkrit,konkret
konsepsionil,konsepsional
koordinir,koordinasi
kwalitas,kualitas
kwantitas,kuantitas
kwitansi,kuitansi
lobang,lubang
managemen,manajemen
manager,manajer
memproklamirkan,memproklamasikan
menyolok,mencolok
mendifinisikan,mendefinisikan
menterapkan,menerapkan
menterjemahkan,menerjemahkan
melola,mengelola
mengenyampingkan,mengesampingkan
mengeritik,mengkritik
mengobah,mengubah
merubah,mengubah
mensukseskan,menyukseskan
musti,mesti
metoda,metode
motip,motif
motifasi,motivasi
nara sumber,narasumber
nasehat,nasihat
nopember,november
obyek,objek 
obyektif,objektif 
on,ons
perletakan,peletakan
penasehat,penasihat
prosentase,persentase
pertanggung-jawab,pertanggungjawaban
problimatik,problematic
produktifitas,produktivitas
psikotest,psikotes
rejeki,rezeki
resiko,risiko
rubuh,roboh
seksama,saksama
sekertaris,sekretaris
mumpung,selagi
silahkan,silakan
sintesa,sintesis
sistimatis,sistematis
sistim,sistem
spesis,spesies
spiritual,spiritual
standarisasi,standardisasi
setasiun,stasiun
subyek,subjek
subyektip,subjektif
survai,survei
sutra,sutera
sukur,syukur
tapsiran,tafsiran
tarip,tarif
tehnik,teknik
terlanjur,telanjur
terlantar,telantar
terlentang,telentang
tilpun,telepon
teoritis,teoretis
trampil,terampil
team,tim
tradisionil,tradisional
trotoir,trotoar
hutang,utang
varitas,varietas
wasallam,wasalam
ujud,wujud
jaman,zaman
zone,zona
w,saya
akyu,saya
akuwh,saya
